"COMMON","AVGEXP_YPD","AVGEXP_SD","DM_YPD","DM_YPD_CLASS","DM_SD","AvPromNucOcc","Num_RegTF_YeastractYT","MedPosDM_SD_TFYT","maxDM_TFYT","PosCorTF_YT","NumPosCor_withinTFs","NumNegCor_withinTFs","PercNegCor_withinTFs","PercPosCorWN_OVsites","N_TFSites400","N_TFSites500","N_TFSites600","N_TFSites700","N_TFSites800","N_TFSites900","N_TFSites1000","NumSites","NumOverlaps","RatOverlap.Numsites","NumCoopTF_Yang2010","NumCoopTF_Chen2012","PercCoopTF_Yang2010","Gb_H3K79me3_vsH3","Pugh2004_SAGA_Dominance","Pugh2004_TFIID_Dominance","ORF","location","chr"
"AGE1",0.719,0.719,-0.183,2,-0.183,0.6,14,NA,0.26,2,6,0,0,0,0,1,1,0,2,0,1,10,1,0.1,0,4,0,1.039,0,1,"YDR524C",-1487542,4
"AGE2",2.019,2.019,-0.101,2,-0.101,0.73,37,0.597,0.597,0,36,4,10.81,5.56,0,0,0,0,4,2,4,11,2,0.18,7,15,18.92,1.07,0,1,"YIL044C",-272950,9
"AGP1",1.994,1.994,0.487,2,0.487,0.49,55,0.597,0.597,20,54,9,16.36,61.11,6,0,5,10,5,4,10,45,35,0.78,19,29,34.55,0.932,1,0,"YCL025C",-76018,3
"AGP2",0.525,0.525,0.817,1,0.817,0.69,40,NA,0.472,13,38,4,10,26.32,1,3,5,1,4,7,9,32,12,0.38,15,17,37.5,0.713,1,0,"YBR132C",-499652,2
"AGP3",0.198,0.198,-0.045,2,-0.045,0.75,30,NA,0.406,8,27,6,20,18.52,0,2,0,3,0,5,4,18,6,0.33,9,17,30,0.411,NA,NA,"YFL055W",17004,6
"AGX1",0.141,0.141,-0.418,2,-0.418,0.78,46,NA,0.472,16,45,4,8.7,13.33,1,2,2,2,0,4,8,23,6,0.26,11,21,23.91,0.401,NA,NA,"YFL030W",76831,6
"AHA1",2.518,2.518,0.172,2,0.172,0.71,37,1.705,1.705,1,36,9,24.32,36.11,3,2,7,10,0,2,6,32,16,0.5,11,22,29.73,1.089,0,1,"YDR214W",892875,4
"AHC1",1.806,1.806,-0.039,2,-0.039,0.67,23,NA,0.472,8,20,0,0,0,1,1,2,0,1,1,0,10,0,0,7,12,30.43,1.402,NA,NA,"YOR023C",-376012,15
"AHC2",3.87,3.87,-0.022,2,-0.022,0.81,30,NA,0.472,4,27,0,0,14.81,3,1,2,3,3,2,7,23,6,0.26,13,15,43.33,1.112,NA,NA,"YCR082W",258883,3
"AHP1",158.275,158.275,0.081,2,0.081,0.63,38,0.597,0.597,3,38,0,0,7.89,1,5,0,2,3,2,1,17,3,0.18,9,18,23.68,0.593,1,0,"YLR109W",368781,12
"AIF1",0.779,0.779,-0.102,2,-0.102,0.74,21,NA,0.153,6,13,4,19.05,23.08,1,1,2,0,0,0,3,10,4,0.4,2,7,9.52,3.66,NA,NA,"YNR074C",-777602,14
"AIM1",0.953,0.953,-0.115,2,-0.115,0.77,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.436,NA,NA,"YAL046C",-57029,1
"AIM10",0.329,0.329,-0.212,2,-0.212,0.77,16,NA,0.26,0,10,0,0,10,1,2,0,2,1,2,2,11,1,0.09,2,6,12.5,0.834,NA,NA,"YER087W",330576,5
"AIM11",0.367,0.367,-0.251,2,-0.251,0.78,15,0.597,0.597,3,7,0,0,0,1,0,0,2,0,3,2,11,3,0.27,0,10,0,0.429,NA,NA,"YER093C-A",-347912,5
"AIM14",0.394,0.394,-0.19,2,-0.19,0.71,19,0.597,0.597,0,15,0,0,6.67,2,0,0,1,1,2,3,10,1,0.1,2,6,10.53,1.169,NA,NA,"YGL160W",200561,7
"AIM2",1.248,1.248,-0.008,2,-0.008,0.77,19,NA,0.115,7,18,0,0,38.89,1,1,1,2,0,4,5,18,7,0.39,3,5,15.79,0.961,NA,NA,"YAL049C",-51855,1
"AIM20",2.912,2.912,0.18,2,0.18,0.64,50,0.996,1.395,9,49,2,4,16.33,1,6,1,4,3,1,3,25,9,0.36,12,29,24,0.912,NA,NA,"YIL158W",46201,9
"AIM21",0.774,0.774,0.084,2,0.084,0.71,13,0.597,0.597,2,5,0,0,0,2,1,0,0,1,2,1,7,0,0,0,2,0,1.415,NA,NA,"YIR003W",360885,9
"AIM22",0.537,0.537,0.035,2,0.035,0.73,13,NA,0.115,1,4,0,0,0,0,2,1,0,0,0,0,5,0,0,0,4,0,1.101,NA,NA,"YJL046W",352386,10
"AIM23",0.55,0.55,-0.174,2,-0.174,0.76,17,0.597,0.597,5,10,0,0,0,0,1,1,1,0,2,3,8,0,0,2,8,11.76,1.239,NA,NA,"YJL131C",-164278,10
"AIM25",0.826,0.826,-0.166,2,-0.166,0.69,11,NA,0.115,0,4,0,0,0,1,1,0,1,1,1,0,6,0,0,2,4,18.18,0.86,NA,NA,"YJR100C",-616351,10
"AIM29",1.399,1.399,0.004,2,0.004,0.7,17,NA,0.137,3,10,3,17.65,0,1,1,0,2,2,1,2,10,1,0.1,0,10,0,0.58,NA,NA,"YKR074W",579209,11
"AIM3",0.303,0.303,0.014,2,0.014,0.78,18,NA,0.26,6,16,0,0,25,1,0,1,2,2,3,6,16,6,0.38,3,6,16.67,0.969,NA,NA,"YBR108W",454822,2
"AIM32",0.336,0.336,-0.041,2,-0.041,0.79,26,NA,0.21,2,25,0,0,0,2,1,0,2,1,1,1,9,1,0.11,3,15,11.54,0.702,NA,NA,"YML050W",173139,13
"AIM33",0.504,0.504,0.84,1,0.84,0.7,41,1.395,1.395,18,41,4,9.76,9.76,2,0,4,0,0,1,3,16,4,0.25,13,21,31.71,0.71,NA,NA,"YML087C",-94431,13
"AIM34",0.771,0.771,0.496,2,0.496,0.8,51,0.597,0.597,9,51,6,11.76,5.88,3,4,2,1,2,4,1,24,3,0.12,15,28,29.41,0.798,NA,NA,"YMR003W",273118,13
"AIM39",0.546,0.546,-0.061,2,-0.061,0.79,25,NA,0.26,5,23,0,0,0,0,2,1,0,2,1,0,15,0,0,3,11,12,0.979,NA,NA,"YOL053W",230085,15
"AIM41",1.368,1.368,-0.023,2,-0.023,0.76,36,0.597,0.597,16,36,0,0,0,1,1,0,1,1,0,1,10,0,0,11,18,30.56,1.114,NA,NA,"YOR215C",-746725,15
"AIM44",0.951,0.951,1.892,1,1.892,0.72,30,NA,0.406,12,28,10,33.33,0,2,4,0,0,2,2,1,14,0,0,4,16,13.33,0.695,NA,NA,"YPL158C",-252034,16
"AIM45",1.769,1.769,0.024,2,0.024,0.7,31,0.996,1.395,4,30,0,0,0,0,0,3,3,3,0,0,11,0,0,11,14,35.48,1.334,NA,NA,"YPR004C",-564007,16
"AIM6",1.465,1.465,0.017,2,0.017,0.78,18,NA,0.251,6,12,3,16.67,0,0,1,2,3,2,2,2,14,1,0.07,2,5,11.11,1.036,NA,NA,"YDL237W",30657,4
"AIM7",1.045,1.045,-0.027,2,-0.027,0.74,25,1.395,1.395,9,20,1,4,25,2,0,1,0,4,6,5,19,11,0.58,6,12,24,1.127,NA,NA,"YDR063W",578663,4
"AIP1",1.644,1.644,-0.078,2,-0.078,0.73,27,1.705,1.705,1,26,5,18.52,3.85,0,0,1,2,0,2,3,11,3,0.27,4,11,14.81,1.161,0,1,"YMR092C",-451632,13
"AIR1",0.933,0.933,-0.09,2,-0.09,0.72,23,NA,0.26,1,21,0,0,0,0,5,0,1,1,2,2,13,0,0,0,11,0,1.507,NA,NA,"YIL079C",-210923,9
"AKL1",0.669,0.669,-0.068,2,-0.068,0.73,16,NA,0.26,5,9,0,0,11.11,0,1,1,1,2,2,3,11,1,0.09,2,5,12.5,1.368,0,1,"YBR059C",-356861,2
"AKR1",1.289,1.289,0.049,2,0.049,0.67,26,0.597,0.597,4,23,0,0,17.39,1,3,2,2,5,1,4,19,6,0.32,7,9,26.92,1.323,0,1,"YDR264C",-996029,4
"ALA1",3.431,3.431,-0.096,2,-0.096,0.65,21,0.597,0.597,3,19,1,4.76,15.79,0,0,0,0,0,1,0,5,6,1.2,5,9,23.81,1.586,0,1,"YOR335C",-946233,15
"ALB1",5.12,5.12,-0.041,2,-0.041,0.69,46,0.597,0.597,2,45,4,8.7,2.22,3,1,2,2,1,2,2,18,1,0.06,16,29,34.78,1.132,NA,NA,"YJL122W",189716,10
"ALD2",0.12,0.12,-0.032,2,-0.032,0.74,34,NA,0.472,8,31,4,11.76,9.68,5,0,2,0,2,2,1,12,5,0.42,11,13,32.35,0.577,NA,NA,"YMR170C",-601562,13
"ALD3",0.223,0.223,0.759,1,0.759,0.77,59,0.996,1.395,9,58,6,10.17,31.03,4,7,1,1,3,2,5,25,18,0.72,19,25,32.2,0.544,NA,NA,"YMR169C",-599352,13
"ALD4",1.378,1.378,0.051,2,0.051,0.72,48,0.597,0.597,18,48,8,16.67,22.92,4,3,0,0,2,2,4,25,13,0.52,15,25,31.25,0.46,1,0,"YOR374W",1039840,15
"ALD5",3.658,3.658,0.189,2,0.189,0.5,69,0.597,0.597,11,67,16,23.53,28.36,9,4,3,2,3,4,7,37,19,0.51,27,37,39.13,1.089,1,0,"YER073W",304030,5
"ALD6",20.483,20.483,0.49,2,0.49,0.35,51,1.395,1.395,15,50,11,21.57,34,0,8,0,3,5,2,1,26,17,0.65,19,25,37.25,0.69,1,0,"YPL061W",432588,16
"ALE1",2.813,2.813,-0.028,2,-0.028,0.64,19,NA,0.12,3,12,0,0,0,0,0,0,0,1,2,1,5,0,0,2,10,10.53,1.24,NA,NA,"YOR175C",-659815,15
"ALF1",1.026,1.026,-0.075,2,-0.075,0.59,27,NA,0.406,3,26,5,18.52,11.54,0,0,1,0,1,3,2,11,3,0.27,5,13,18.52,0.602,0,1,"YNL148C",-349907,14
"ALG11",1.798,1.798,-0.126,2,-0.126,0.77,7,NA,0.115,1,0,0,0,0,2,0,1,0,2,0,1,6,0,0,0,4,0,1.218,0,1,"YNL048W",538173,14
"ALG12",1.244,1.244,-0.037,2,-0.037,0.77,24,NA,0.26,3,23,3,12.5,8.7,0,0,2,1,1,2,0,11,2,0.18,4,10,16.67,1.325,NA,NA,"YNR030W",678799,14
"ALG13",0.774,0.774,0.075,2,0.075,0.76,24,NA,0.115,3,21,2,8.33,4.76,1,0,1,1,2,5,4,17,2,0.12,5,13,20.83,0.705,NA,NA,"YGL047W",411552,7
"ALG14",0.606,0.606,0.236,2,0.236,0.7,33,0.996,1.395,8,33,0,0,36.36,1,4,2,0,2,9,5,27,12,0.44,13,14,39.39,0.408,NA,NA,"YBR070C",-379221,2
"ALG2",0.747,0.747,-0.08,2,-0.08,0.67,14,NA,0.127,3,4,0,0,0,1,1,0,1,1,0,2,7,0,0,0,4,0,1.13,0,1,"YGL065C",-379760,7
"ALG5",1.601,1.601,-0.104,2,-0.104,0.61,20,NA,0.115,4,11,0,0,0,0,1,1,1,0,0,2,8,1,0.12,0,6,0,1.418,0,1,"YPL227C",-120163,16
"ALG6",1.774,1.774,-0.036,2,-0.036,0.76,21,0.597,0.597,7,16,3,14.29,6.25,0,1,0,0,2,1,0,9,1,0.11,5,7,23.81,1.072,0,1,"YOR002W",329417,15
"ALG7",0.903,0.903,-0.182,2,-0.182,0.68,22,0.597,0.597,2,20,0,0,10,1,1,4,1,1,3,8,20,3,0.15,10,10,45.45,1.087,NA,NA,"YBR243C",-705447,2
"ALG8",1.266,1.266,-0.115,2,-0.115,0.78,26,NA,0.26,2,20,4,15.38,0,1,0,3,3,0,1,1,9,1,0.11,6,12,23.08,1.017,NA,NA,"YOR067C",-451729,15
"ALG9",1.544,1.544,-0.071,2,-0.071,0.67,24,NA,0.472,5,17,8,33.33,0,1,0,1,1,1,1,1,9,1,0.11,8,13,33.33,1.357,0,1,"YNL219C",-235996,14
"ALK1",0.925,0.925,0.002,2,0.002,0.76,34,1.395,1.395,9,32,6,17.65,18.75,1,1,3,0,3,0,4,23,7,0.3,7,18,20.59,1.373,NA,NA,"YGL021W",454785,7
"ALO1",2.793,2.793,-0.055,2,-0.055,0.75,37,0.597,0.597,5,37,0,0,35.14,2,5,0,3,0,0,5,18,13,0.72,15,17,40.54,1.375,0,1,"YML086C",-95791,13
"ALP1",0.044,0.044,0.21,2,0.21,0.53,29,NA,0.243,4,27,1,3.45,11.11,1,1,3,0,4,1,1,13,3,0.23,11,12,37.93,0.443,NA,NA,"YNL270C",-135940,14
"ALR1",0.6,0.6,0.01,2,0.01,0.66,18,0.597,0.597,6,16,0,0,0,0,2,0,1,0,1,0,5,1,0.2,2,7,11.11,1.466,0,1,"YOL130W",74400,15
"ALR2",0.132,0.132,-0.011,2,-0.011,0.78,22,1.395,1.395,8,15,4,18.18,6.67,0,2,3,0,2,2,7,17,3,0.18,2,7,9.09,1.376,NA,NA,"YFL050C",-33272,6
"ALT1",1.796,1.796,0.051,2,0.051,0.65,57,NA,0.472,13,56,14,25,8.93,4,2,4,3,2,3,4,24,7,0.29,25,24,43.86,1.219,NA,NA,"YLR089C",-318237,12
